trafficmedium,sessions,bounces,pageviews,transactions,revenue,bounce_rate,avg_order_value
(none),228817,92707,1203848,5110,647618.65,0.40515783355257695,126.73554794520548
referral,192973,121850,361265,163,25508.58,0.63143548579334929,156.49435582822088
organic,63678,27266,335041,749,73414.36,0.42818555859166429,98.016502002670222
affiliate,7885,3842,24989,3,79.71,0.4872542802790108,26.569999999999997
cpc,4105,1425,27696,74,7153.67,0.34713763702801459,96.671216216216223
cpm,3618,1247,20363,83,11701.49,0.34466556108347152,140.98180722891567
(not set),11,9,13,0,0.0,0.81818181818181823,
